company_name,alternative_name
ELANTAS,500123
FOSCL,500154
INDOKEM,504092
CITURGIA,506373
JAYCH,506520
KELENRG,506528
NITTAGELA,506532
MPAGI,506543
PBGLOBAL,506580
AMAL,506597
GUJCMDS,506640
ULTRAMAR,506685
TUTIALKA,506808
PRIMO,506852
GUJPETR,506858
JAYSYN,506910
IGLFXPL-B,506945
ADVPETR-B,506947
CAPRO,507486
CJGEL,507515
POLSON,507645
TGVSL,507753
LIMECHM,507759
BHAGWOX,509449
HARDCAS,509597
KOTIC,509732
ZSOUTGAS,509910
COCHINM,513353
BLACKROSE,514183
SRECR,514248
BPTEX,514440
JYOTIRES,514448
VISHNU,516072
RITESHIN,519097
STDSHOE,523351
LINDEINDIA,523457
INDTONER,523586
NFL,523630
PLASTIBLEN,523648
HINFLUR,524013
RAMAPHO,524037
VENLONENT,524038
HARLETH,524080
VINYLINDIA,524129
TCMLMTD,524156
KESARPE,524174
VINATIORGA,524200
TEEAI,524204
AARTIIND,524208
PNTKYOR,524210
RESONANCE,524218
RCF,524230
SEYAIND,524324
SHHARICH,524336
ASINPET,524434
CAMEXLTD,524440
INDOEURO,524458
TULASEEBIOE,524514
LAFFANSQ,524522
BHASKAGR,524534
GAYATRIBI,524564
PODDARMENT,524570
VIVIDIND,524576
JAYSYNTH,524592
AKSHARCHEM,524598
RATHIGRA,524610
GAGAN,524624
ALUFLUOR,524634
ARCHITORG,524640
INDOAMIN,524648
BASANTGL,524687
ASIANFR,524695
NACLIND,524709
TITANBIO,524717
FISCHER,524743
LINKPH,524748
NUTRA,524764
EMMESSA,524768
PHYTO,524808
DYNAMIND,524818
NIKHILAD,526159
MULTIBASE,526169
STDSFAC,526231
PREMEXPLN,526247
CRSTCHM,526269
SHREYASI,526335
KKALPANAIND,526409
SFPIL,526532
ADARSHPL,526711
SHAWGELTIN,526739
DAICHI,526821
SONALAD,526901
PADMAIND,526905
GUJALKALI,530001
MANGCHEFER,530011
AADIIND,530027
LORDSCH,530039
PRIVISCL,530117
VINYOFL,530401
KUWERIN,530421
SHIVAAGRO,530433
TINNARUBR,530475
VIKRAMTH,530477
VIPULORG,530627
SHENTRA,530757
BHAGERIA,530803
DAIKAFFI,530825
SUNSHIEL,530845
CHEMBOND,530871
SUCROSA,530883
RKB,530891
VIKASECO,530961
ISHANCH,531109
ORGCOAT,531157
KEMISTAR,531163
DECOMIC,531227
INDGELA,531253
PRATIKSH,531257
ALCHCORP,531409
POLYLINK,531454
KOBO,531541
MIDPOLY,531597
VIDHIING,531717
BHAGCHEM,531719
BHARATAGRI,531862
UNITINT,531867
AGARIND,531921
OMKARPH,532167
GENUSPRIME,532425
NAVINFLUOR,532504
SBTL,532669
DYNPRO,532707
SOLARINDS,532725
PAUSHAKLTD,532742
CAMLINFINE,532834
SRHHYPOLTD,532842
INSECTICID,532851
ALKALI,533029
KANCHI,538896
INDRAIND,539175
POEL,539195
CHEMIESYNT,539230
AVI,539288
CHDCHEM,539800
YASHCHEM,539939
AMS,540066
EIKO,540204
CHEMCRUX,540395
YUG,540550
DEEP,541778
AAL,542012
PHOSPHATE,542123
SRD,542232
NATURAL,543207
CHEMCON,543233
FAIRCHEMOR,543252
BCCL,543497
DDEVPLASTIK,543547
DHARMAJ,543687
PATRON,543798
SUDARSHAN,543828
MACIND,543934
ARCL,543993
DEEPAKCHEM,544036
KRONOX,544187
NPL,544205
MADRASFERT,590134